sentimen	Tweet
0	lupa tag
0	getik kangen tuh hapus ldmstro
1	tulus cinta pikir kali muncul hidup tau betapa berha
-1	tampung patah hati murung kau anjak cinta buat retak
-1	eh eh
1	mekanikal mustahil je jumpa hahahaha btw goodluck study hahaha
1	tau thanks mbak
-1	entar tagih tipsen truss
1	keren tonton film wiroableng pendekar kapak maut naga gen ngeri lihat film jadul
0	makan siang makan lotek pakai cabe tiara makan level pedas cundang ha
-1	bercandaekatzun sayang maaf
0	hft
0	berani nemenin retweet ya
0	mi belah biar ala ala yutuber ngereview indomie mi belah maaf kompor iya
0	mrsm kategori berbeza beza mrsm baikapa masuk mrsm nak isi borang
0	nih ganiat jb
0	rlt tau minat bu banget nih reply dm terima kasih
1	dunia
1	diri mohon sapa puisi
1	hahahaahahhahahahhaahahhahahshshahahahahahahha pqoott teh tau kak
1	mazmur seru ku jawab sesak
1	weh duduk asyik nak sakit je haih kuat
0	daniel bayi
0	adek tapelah pergi cari pon buang tade angin tade rib
1	cantik jb tweet
-1	sedih pasal kucing dobi mamat kerat
0	borak malam event vans nadhir is the artist behind budak nakal sih album cover and kes betu
-1	a ngapa kapai
0	salah lihat fb lumpuh tangan bengkak i
0	pm ok nak sibuk
0	double park haish selipe penah makan muka orang kang muka lak ya merasmikn
0	tetiba sih kembar muncul mimpi
-1	galak
0	han jisung birthday giveaway raya ultah han bikin giveaway hadiah pc amp lampu tumbl
0	makan tido makan tido reput je kat rumah hadap orang haih
0	kalo stres lepas stres ajar akar tugas gambar ringin stres
-1	titik air mata bayang betapa terseksa kucing betina bunting mati lecur mesin dryer kedai dobi taman
1	cinhapp happy birthday aduduu jarangg ketemu nih semangat ya team jangann lot
0	i remember my secondary school teacher telling me zakaria tak perangai well pe
1	tunggu pria jumat iya mendoaka
1	suka lucu laku orang orang enak hati nya indak papa loh
-1	bunda mals deh nk rayu
-1	complicated usha indak ptptn
-1	harus unfollow olshop seliwer ig goda ku gatahan godaeriusan
1	kwk ku ketemu pas bruntusan bilang jerawat gede alaihim
1	sib simpan
0	sumpah hangkrekeng kirim nang kon pas bingung
1	iya kutikut ngetawain post skrinsyutnya maaf dekjom sok ngetawain
1	manis lihat erin dev hehe canda okay tunggu ya masuk supermarket erin be
-1	pamit cari
-1	serah kemarin ikhlas ikhlas
0	dkt fb orang share orang anak dkt twitter orang rt orang anak mabuk tau deh jenis takut darah
0	hai follow rt yeri
0	kalo manusia purba manusia pra sejarah
0	ewbie teman gisel info tarif bo wa serius chat ya include hotel tebet availjaksel openboj
0	bos tau sorok kat malaysia deh deh kerja deh sara nak hidup
-1	hati mu
-1	sejuk gedi kat jetty sesal bawa jaket
0	kwn pregnant cari kau fathia latif first of all kau kwn kau halang deh member
1	tas gucci tinggal ya umur menang wkwkwkwkw
1	mohon rmi lelaki rokok hahahha
1	duk makan je hahahaha
-1	diam taknak gaul penat sembang kosong
1	erghh timbang belakang pendek tangan hahahhaha
0	cerita tinggal anak cucu
0	habis jumat entar mampir coba masakan
-1	i would but bermoney
1	hah hahaha geli banget gue pakai emot jempol kayak wa
-1	jauh lelaki
0	kerja mfm je masuk morning closing staff sok takat kerja office kerluar pag
0	kawan perempuan suka makan kenyang gais
-1	army bts tonjol smuanya army nafas disalahin jalan disalahin
0	tunggu makan kat kedai makan bro belah mintak izin nak hisap rokok emm okay adoii
-1	decide nak resign kau pujuk offer gaji kak taknak weh payah nak
0	hai mohon maaf ketidaknyamanannya pasti jaring koneksi internet stabil cek kala ya
0	true one of my ex like lampau busy contact langsung almost months last deh
0	asa simpan duit raya konon taknak kat umi temu luban
-1	loh masaoloh ku beemu mu tempatepei heh tan lu anjerr
1	enak langsung ajak omong mah orang ajak fambest ta
-1	vi vi vi vi vitachimin hyeongie kak aangen banget hyeongie ku gemas kayak squishy chim
-1	depressed nk suicide kene dar sakit oku pn depression
1	suka spongebob uwu
0	jatuh kau sambut weh kau layan puter kau buang je
0	malam kau laku kau
1	sengaja lihat senyum pada
0	omg doa makcik medan sentiasa jaga allah baiknyaa harga telur dadar cili
0	serang banten serang enggak pernah jakarta pakai kendara enggak tau wkwk
0	dm aka
1	selamat pagi jumat doa kepada percaya awal ingat
0	baca crazyrichsurabayan tuh kaget ya ketemu dengar cerita langsung
0	yuk siap jadiasn lupa informasi resmi edar menpan bkd pengin
0	follback retweet
-1	latih bakat bakat
-1	pusingg bingung takut hemm kudu piye iki
1	amin goodluck anw
-1	makan makan kering kesi adek selera perut bang makan
0	tutup lampu main azab nak tengok muka
0	jeno doyoung lucas shopee dm
0	kemarin bos hamil
-1	idm merinding
0	apoo airasia hahaha tknk deh
-1	kau sikit nak butthurt kalo anjing kau erti sakit hatialam jumaat bye
0	cerita kisah hidup cause i feel free share korang orite orite
1	uap kali kot hahaha
0	lori nih cust pakat dok tny deh eemm
-1	jumaat nk sakit hati haihh nk racist bangsat perangai
0	ah entar mana
0	nk nasihat wanita cod tolong hati hati harap korang brteman never let urself alone cod yes
-1	halla minat ngenalin zn noona
0	mantan teman kantor konser kisah klasikheila on hadir tani jumat malam kamu
0	anti gambar nak upload post kat vsco je
0	semalem tonton ayo salam jo insung joohyuk
0	selamat rehat mr acappan lawak suka amp evergreen selainathiya
0	banyakk retweet kenal takk
0	hi ada give away nih give away nya album bts love yourself answers yey follow retwee
-1	kerja last mute sumpah penat gila hm nak taubat pon hahahahahhahahaha deh indak time
-1	puas nafsu je babi
0	cuba baik kawan akuhe sih the first person tegur mula masuk kole
-1	mateskuu kayak anak hilang
0	ya pelik
1	cari astaga
1	this is especially the truth nasib rosak liver konon nak cepat kurus cut sugar intake calorie counting
0	astaghfirullah mantan ya
0	hei rusa cek punya whatanimalareyou
-1	nih mencak nyoh makan nyoh niat maaf malu ya
-1	bye salah hi salah
0	cakap deh cakap tuh nak kategori jenis
0	petang dok lepak pantai lepas peras awek dok tonggengo decide depa a
-1	takut cowok usaha generalisasi but somehow its pretty hard
-1	perempuan layan lelaki
-1	sedih dengar berita kucing masuk mesin ering deh kucing bunting allahu
1	lucu lucu mpul sayang
0	alam member sekolah cikgu perlekehkan cita cita cikgu lua
0	angantuk
-1	yaallah suruh kari colot paran alias kampret huhu
0	korea sedia traktirekalian potret portofolio
1	anjing suka corgi gemas pantat montok hngg
1	cinta allah tak pisah dengan kecuali allah pisah
-1	deh penat ria deh penat diam deh penat muka deh penat sakit hati deh penat pendam deh pengin
0	kau accident teruk wey accident mcam accident sasar jalan yan
0	gambar wani siang peras malam malam peras hmm hanat tinggal sorang
1	jilake pintu kaca kat opis clear namati sakit dahi terhantuk hahahaha laju plak malu gila hahahahaha
0	bantu ya wkwk amp t samping alfamart dkt cisaladah
-1	ah nya gasuka
0	ribka tjiptaning buku bangga anak pki rieke yaqult buku pancasila partai lu
1	ya allahayang ganteng banget
0	giveaway enggak tau rangka orang pemenangatu orang pulsa kak all op orang produk diba
0	bhai takde duit duit lupa solat ingat solatubuh sur
0	bilang muka cerah tau asa efek liat
-1	deh hati nak reply chat with strangers like hi what is yr name tinggal anak berapa baja
1	doa perempuan nak pakai tudung esok bentuk oningnya sempurna
-1	huh pasal benci mathematics
1	benci diri peduli twittbot
0	benda patut tengok deh ternampak nak
0	haloahabat muda ikut rekrutmen cpns yuk lihat n
1	kak sayang kak mesti
1	ikutt rulesx terpenuhii moga rezeki ku karnaa kak vicka pernh menang
-1	batas keti pakai perasaa
-1	ajak
0	film spotlight based on true story pers berani sentil grk kelam diak
1	wkwkwkkwkwkwk
0	jenis jam lapar kadang nak kunyah pape makananebab bosan takde benda nak
-1	ra nguros
-1	follback ya plis enggak usah terror
1	tetap kau peergi nyaman nikmat panas kopi
-1	keras gampang bawa asa
0	weyy lupa sebi nak hsbsbsbbsbsbs
1	tunggu bahagia syukur syukur rasa kebahagiaa
0	malam jumat mas temenin retweet ya
1	mi rasa tahun kawan uu terima kasih teman sabar dengar yan
0	indak sambung dek
1	hahahahah suka
1	suka orang tegur puji rana tegur betul puji musnah
0	hidup dorang kat situ je bro kahkahkah
1	doa bapa ya allah ampunila
0	siang happy friday sholat jumat nya lupa ya habis giat latih bareng team sih
-1	untung umur hidup pakai duka hiyori asahina
1	doa doa lantun tiga malam jokowiperiode tetapjokowi
0	nk hard nak mati
0	holiday amrik coba detoxnya katering
1	akun makan bisa anon wkwkw
0	butuh
-1	lagu sedih brader sesuai gara gara math
1	ok nder cantik ketemu doi stgh hehe
0	takde raster mechanics blackflag sng nak faham sampah main bwk kapal je blackflag haha
-1	pergi deh orang kau sempurna sanga
1	tau hahaha kang pastu drag orang taknak hahahaha niaa kang kau hahahha
0	heh baca
-1	kak start from now kena kuat kak ria act like dont care anymore
0	fyi sender posisi reply coba bikin down sender dman
0	apik pakdee luk engkas gawe yoan
-1	space memori lelaki kosong nak benda bodo pakai lepas salah lepas mak
1	cinta allah moga tuntun surga jokowiperiode tetapjokowi
0	mini giveaway indomiealted egg rangka woohyun st win myungyeol jalan jalan uwu jjong foto
1	kalo menang belikan memory card hapeku sisa beli stuff seventee
0	haus
0	vcs yuk ah tega biar retweet dm ya nomer wa nya
-1	this seller is rude af orang thread os katai miskin lol
0	dm eror masuk notifnya oe
1	kepompong kupu kupu cantik ghaida
-1	un mati ketemu ba iqlab ketemu gajadi ijab
0	lanjut suka hwang minhyun wannaone ya jelasin
-1	me masuk hukum un r her kemarin orang suruh bayar juta
1	hh cantik banget mbak
1	suka lukis art orang i tried amp i loved the process alhamdulillah owner pn suka
1	senang ya
1	suka sewa kereta orang laki banding pompuan kereta dorg kemas and bersih
-1	sih doa gue kabul gue tahajjud kabul tuh sih
1	asyik gamelan mbok jamutradisional jamugendongehatalami herballife
0	eh lihat reply tweet news portal jepang fan semangat rencana rilis
0	yaris nak sorok nasib nenek ketuk pintu
0	atar main tua
1	ctea mencintaimuampai tunggu kun kau h
1	kenall dekcik sedih amp happy
-1	cinta nkri cinta presiden nkri sah mamp
0	tempat ajar ustadzah beliau anak umur an anak seriing banget main
0	main rek
1	mana nama tungguedangkang mana bisa harap me
1	aunty pintar
-1	ajar rendah hatiebab tampak jahil allah rindu zaman ajar
1	lucu lahanjy wkwkkw
0	mintak harap gp je kalini
1	bingung wjwjwjwj
0	as pacar martabak telor pakai keju
1	anti november ketemu hihihi lupa bawa hadiah
-1	benda nak bawa gurau rupa paras bentuk badan insecurities contoh gagap pas
0	haedar injured hahah pening player social league nak set final line up harap medi
0	ari anak kelas wisuda periode anak itu akuad yaelamat temu pe
1	giveaway nih karma baik bagi parfum hits
1	haha alhamdulillah asli habis gaberani intip lol
0	tbh nak start business kawan kawan takpa aina atleas
1	henti rokok menit lancar tekan darah denyut jantung alir darah tepi lho sih
-1	okaylah whatever then baca artikel nak tanding clean tok mat sok
0	lukis gamba ajim
1	september boxer graf mt nan wkwkwkwk oh nama jodoh wkwkwkw
1	kak luk et mi luk et mi apaka tyda cantik cantik bidadari
-1	sayang
-1	jahat indak ena anjir gajahat
0	me selawat radio tv mak wan mesti malaikat kelam kabut nak tulis pahala kau nyanyi korea
0	utaraa
0	gb
-1	cemburu sayang
0	takboleh pon pasrah masuk then abang jage pintu automatik
-1	deh deh post pasal kucing kena seksa nak menang rumah deh ekor bela deh
-1	bahaya
1	join agree dowh
0	pagi ria taknak gi kerja tetiba
0	main vokasi kalo hmm
-1	biasa sinetron indonesia video bikin komentar
0	wkwkwkwk dibilangin tuh hapal mutualsku interaksi ganti uname nick orang diam
0	dhil cindhil mending batalno acara iki sono presiden neng garudaing sopan kowe dudu cah jog
1	wkwk sih ayo nung nek minggu
-1	gegara by
1	hai tari selamat ulang yaemoga baik hati balas tuhan moga bahag
0	kir curhat sakit nyolokin headseat lupa nyetel lagu
-1	duga banding last year orang cakap tingkat umur bany
0	hm bismillah kali pergi
1	sumpah cheese selesai kat malaysia nak kedai makan laris jual makan cheese nak b
0	manja jogja wa bojogja wpjogja bispakjogja bisyarjogja availjogja kimciljogja
-1	kalo sih mundur
0	ayo mimpi
0	orang tidur ngorok mulu nyenyak banget dahusah darimananya
0	ya suka makan ciz n chic
1	tarik perhati iphone camera iphone xr single camera gempak t
-1	member
1	pagi dek woncha kangen
0	eh bontang bentar sih haha bismillah rezeki lancar biar kak
0	rp pcs butuh personal care ayo familymartindonesia
0	beli sepit baju dozen deh sedozen klip baki ampai sahaja party cc
1	percaya pada percaya pada rin ao no exorcist
0	hahahahah astaga kenal collection acc ig problemati
0	kalo formasi khusus ipk cumlode kayak cpns gelombang pilih formasi wkwk
0	tonton dancing high sadar ku tau dance genre tau acara
-1	selesai tengok prisoners korang suka film crime thriller tengok cite layan anak hugh jackman
-1	ya kapai kode mending orang langsung love eh
1	virgo apa proses hidup mudah serah
1	wkwkw ya ngono wis otomatis iku koyoke
-1	i miss my bestfriend time sekolah rendah ainin deh plan taknak lupa pindah sekolah gaduh an
-1	moga foto nyebar hubung engkong jaman sekolah bentuk puyeng
-1	muka buruk lancau
-1	sumph ye pagi bangun trkejut mimpi die
-1	asa tau malu banget sih aku reply instagram story
0	caner nak masuk kelas adek brape
0	malas nge upfoll acc ayo pakai jasa neng ji tag lelang acc followan
1	hai kasih janji kalah mobile legend
0	gaya anggur beli sabun orang bilang
-1	sedih gantungin dm nih mikir
-1	lemaah balas dendam
-1	saking bego suka
1	tahun deh kat yaman sik asa eh hahaha benda ajar disitok hakikat duduk dalam hadramaut haha
0	bro followan yuk ava ku sungwoon auto follback ya hehe
0	cinta utang didiemin tau tau gede
1	bilang chill
1	dusta
-1	makan baperin orang baperan uuini yuk
-1	gua stres edit jaemin ya allah mileamu
0	individu rumah
-1	gatahu lihatin mulut malas wlwllw
-1	dedi bokek
0	weh korang mak hand sock inner snow cap moga allah murah rezeki retweet https
1	yuk wkwkwk
-1	stres nya ya allah hadap kerja sumpah rela ajar
1	ye empyun hahahahah sih noah post ig film tagged tonton tagged season asa
1	asyik je kene bebel ngan soh nasihat tegur yanh takmo deng
-1	dengar orang menang suara sakit dalam now i feel that
-1	cerita seram kat bilik
0	anyone nak pergi meet amp greet gangster underworld cast dm tiket nak
-1	meh pastekno ora iso kondo
1	main final fantasy awakening lho gabung main yukz
1	dua komplot rampok rampok hati rampas hati
0	patut deh deh paper susah botol jatuh haih haih
0	lai kutip sampah kat kerayong nk harum nama kolej
1	singgah terakhirebesar harap kepada mengecew
0	diam nk tengok hg cari orang punah
1	happy af sapa pergi please sapa
0	member member penternak ayam bisnes supply makan ayam je etc padi dedak ru
0	publik
-1	neraka cing bulu kena pedih api neraka
0	admin tau kalo hoseok nyetir tetephock kalo hoseok nyetir mpn btsarmy https
0	tetes cinta emha ainun nadjib caknun ean
1	hala kinikilig thank youu
-1	pir jarang up instastory eh iya malas hati jarang up up kak
0	wey comel mak
-1	takde hm
1	thats my boys terus share benda nih bukti bahawa lelaki trash
-1	tau sih jawa cuman tau turun jawa sunda mamak kalo suruh mil
0	coba
0	iya pakai pagi malemm
0	rlt kating gua cowok ganteng main twitter woy duduk gasengaja lihat hpnya buka twitter mantengin rlt anjay gue enggak tau n
1	dom jogja
0	bilang maem dijajanin mam
-1	pikir keliling wajah keliling hati
1	kawan selamat kucing lemas mesin basuh kedai dobiesiapa cinta kucing b
0	kue artis kae sik payu ta gurung tau nyobak blas
-1	kayak gapapa kalo tahan mundur mengaruh psikis
-1	kesal driver bilang mbak cancel ya centang driver asked cancel ajar
-1	kau lihat perkara lihat perkara lihat ikhlas kau terima silam
0	dek pacar mas maaf mas dek
0	tahu lawa
0	otak darjah enam nak faham hint
0	sih yes tau kalo mas anang
-1	ret chat orang reply patah patah eyy
0	lanjut h custom lexus ya biar pintue cepat nutupe ya custom speed pintu
-1	i disgusted when a guy tells how women should dress just elak orang nafsu
-1	rpw pengin bodo kalo mafia acc prinsip beda acc beda cerita sedih sih
1	dua tokoh pengaruh orang hebat kagum lets vote retweet and like leave your cowok
0	mana tonton
1	apa amplaz jalan jalan doang susur trotoar capek ngadem amplaz wkwkwk
-1	jual username lantai
1	jarang tuju kau tuju
0	nyuruh dlosoran lantai nak
0	ctzh ngajakin anak dreamis cuci mobil bareng bareng eh pas noleh arah jeno renjun jn by
0	minum fikir owner ahuruh isi air ah bontot nak angkat bawa botol payahnyaekarang h
1	lucu ih kayak rubah arctic husky mini muslim cant relate
0	area rumah anjink liar please simpan arnab rumah lindung anjink kak
0	sekian ambik pasal sih kembar mimpi
-1	post gambar kote orang nak bising orang sampah
0	jb nih biar tambah
1	hahaha salah eh dek kelas harini
-1	gaberani nikung
1	perempuan cantikebab allah suruh tutup habis takut panas ruam panas
-1	kadang nak sakit je lantar hospitalebab nak tengok peduli tengok family
1	nak mak tambah superb sporting ala mak regina movie mean girl i a cool mom mak
1	belah dada ku
-1	rindu
0	haha ye weh but kisah plus takpa kawan kos kau
0	nk panggang please
-1	ubah penat marah sedih just penat
-1	peras tengok politik malaysia kau member kau kepala kau jahat
-1	kau tipu percaya yelah jenis bodo bodo cepat ercaya hm ntahla wak
0	sih mutualan yuk rt ya
1	hahahahaha kena censored anjing salak kena panggil hahahahaha
0	baca translatenya uy
0	makcik pagi nk bang kucing makan tgok sangkar binatang kucing deh kena makan
0	salah diri fandomnya
0	pastu on volume radio kuat kuat takleh bayang kejut cemana
0	hi guys nak cerita pasal hamba allah lahir as a normal person lepas cac
0	birthday
-1	sorry wehebabusahkan kau suka kawan cakap kau kawan tolong kau deh tan
-1	creepy sia katil baring je ngantuk
0	gadu lapar muka seposen last last kena palau je wehh ingaasaasstt
0	sister kat department biomed kat kak fetty gshshsjjsjs
1	luka takut cinta untuk
1	haha bodoh punye rba kene maki ngan je
-1	diam saben
-1	santet benar
-1	benci soal bala amelia deh takde duit nk pinjam pinjam lak coba tul pastu lak kena kire
0	cubitin pipinyaa
0	hai hai jakarta kota expojakarta ept rasa ro ensasi dahsyat
0	hakim jaksa tulung serpis jads migren menit nontonin too high
0	jakarta kerja meeting salah alumni asntm ngopi alhamdulill
-1	ughh markah paper physics serious kecewa
1	oh hahahahahahhahah bakul baju kau lupa nak cakap letak beg hehehehhehehehehhehehh sorry
0	der halu diekolaahh ok daddy im ready punish me
-1	sih coba hehehe
-1	jantan alfa amp induk bunuh leher bayi ikat jadi hewan pelihara beli amp pelihara anak
0	kalo pakai clay mud mask kotor wajah sedot
1	pacar
1	cinta cinta dunia conan edogawahinichi kudo ran mouri bot
-1	faham pakcik bebel sorang sorang melayu eh nak tidur payah
1	incer ts wkwk
0	gb minggu minggu kalo turut boros banget
-1	hmm kena diam lho
-1	insecure girls kulit licin licin muka kaca kaca retak je hsuwduhfjsnfbei i hate bre
-1	hensem je laki orang ek eh marah
1	milik
0	dvd idr bluray idr kihno idr detail cek pinned nde
-1	mangkane akuimpelederhana terima pancasila falsafah nkri pengin ganggu utuh nkr
1	wkwkw eh kerja ya
-1	lelaki je trash perempuan
0	bilang biar semein
-1	katai nuna cantik nuna alay
0	hm letak fw pagi pagi ah deh free
0	kongsi tarik lecturer media harini girls takdir you guys kna rogol mandi h
-1	deh isap
-1	pusing lihat
0	omg whaat gua apa om wowo naik pamor doi anjing
0	banget ya tim bubur aduk aduk kalo sih makan aduk doang makan
-1	rpin istri ong
0	kecam orang kerja goyang kaki bilik tweet kecam ret private account
-1	iya enak ajak nya tuh
1	dengar candu pas fansite jihoon nge tweet beautiful fe
1	ya tuhan kutuk milliader
0	pah butang baju melayu pah
1	hahaha epa suka sepak ngan nya sepak manja manja
-1	syuting yaampun merinding ya allah ampun akuekalian ku bagi doa moga manfaat
0	ryeowook ssi pandai masak iri yoona
-1	gara ngobrolin charm tampang mantan gue aga ajar bilang tau sih orang
1	klien raja seringkali manja gemas banget deh
0	menganalisa tulis kata jad
1	tumbuh dewasa anak kecil i love
0	gaduh sha anis diploma at last sorang mtk maaf hah rind
-1	math menang huh
0	bos ijin etik lebar sopan eh balesnya
-1	jauh ruang jendela renung bisik kenang silam tuh sgalanya percaya janji
0	ajak kawan soal year hidup kau bol
-1	sekuranye takdelah selok nak jantan betina weii hal mentality kau mcam sampah ek even deh habis sch ing
-1	mashook ekoh
-1	deh tau perkara benar and sesal yeah
0	ofismate kena exactly kena pukau and je tac number kak hilang je sek
0	aah masuk hotel main kereta jeo gelabah tetek check inorry ds b
-1	overthinking cuz flight malam malas gila deh demam
1	jokowilagi
1	jenis easy forgive hard forget dendam nak jadi ajar alam hid
0	ominee alas wh atepatukantekadjuang retweet likes kak
0	oh kanto nama ayu farah eh bgtau abah
1	moga kawan kawan kesihatan homeworks cuti sebula
0	ya ambil sayang bilang omong uang orang
1	bagus tambah senyum cocok banget senang lihat
0	penah jenis jenis popcorn
-1	ulisnya enggak bisa nyante gue baca nyante
0	bibik buat xmau accept offer and nnty cuti susah nak kedah
0	mana
0	rabu petang malaysia malam deh pergig besi hantar box sewa hantar acu khamis pagi hantar kereta
-1	yezza if sayang sahabat lupa gaduh minit its really hard salah sorang
0	askmf iphone sih
0	anak nih
-1	anjing staghfirullahaladzim luy kirim kayak mah goda
1	mana warung sayang biar temenin warung biar sepi
-1	andai kau n paham asa tau
-1	tengok hati pukul weh sakitt kesi anjing
0	isya weh ikut
-1	bilang cebong suka begadang bilang kampret dukung duh bingung banget ya tuhan
1	cinta terima banding cinta cinta cinta
0	enggak bisa dm tolong pesan grab jam ya jakarta
-1	lupa
-1	kalo kiki bilang sebal enggak apa ya
1	ya jodoh
-1	pengin nikah umur orang nglamar sih
1	alas nama temu nama perp
-1	of course kesah
0	butuh interaksi l l yuk line segitu yuk mutualan ku follow auto followback ok rt
0	sih banyakk
-1	bas print tiket atur then pegi cakap akak en
1	manusia handsome jumpa
0	thread kemarin alergi ya bruntus gatel banget deh akutu sigap pas pulang kerja langsung bersihin muka pakai
0	bagus kau lari cam
0	rt confess crush
1	kreatif wkwkwkwwkwk lumayan imbang
-1	mati bareng bumi
-1	sulit ucap selamat tinggal cinta sulit kenang sama hilang
-1	eh sorry salah sent dkt crush salah send
1	jumpa deh handsome boy
0	orang simpan duit syiling ana makan besi
-1	seram anjr
-1	yoona diam temu jejaka hadap sebal gendut t
1	sayang
0	iya siaangg oh makan uang bantuin cari uang yuk jfclosedday
0	kau busy takpe deh free cari je kau
0	weh nak pergi
-1	oh download teman kelas ngaada makek
0	me mueez mati pokok bunga dahendu mueez oh mueez ingat pokok deh mati
0	swing hai jual dvd wannaone world tour tida bel tida tipu muslihat bambankwing
-1	bestie call then menang ii alahaaii nak dahla memasing
0	selamat siang semuaembari maksi yuk omong awat rambut pasti rambut
-1	twitter suddenly stopped buka dkt app buka pakai website helok
-1	luka lepas cinta terkadang luka lepas
1	aduh neng cantik bikin kentang nih bokep bukabukaan livebugil
-1	gila babi obses blackpink my followers im sorry you people kerap ternampak blackpi
0	kahwin isteri kali confessejak kenal xpernah luah asa orang
1	kalo pilih garut
1	someone said me salah orang bahagia kejap pikirka
0	haihai banget pengin green ver ketemu ic ya kalo
0	enak anak paud gede daddy
0	sumpah cerita kaklang sebijik beza nyak kaklang kawan deh hohh shit sih
0	enggak mau sok tau nasi uduk
1	baca jejak bumi sadar kuasa allah kuat apa mengu
1	okok coba
-1	yaallah rindu hadap mbunmbunan mbak rosa
1	uang kayak
0	lisa nyanyi kena try model i mean catwalk model body proportion pon nice deh
0	mu oras biziz
1	doa tuhan rezeki bagi baik manusi
0	ya
-1	pelik laki acah serbasalah pmpn awek bini wtf sakai doh haa
-1	haih nasi goreng gula adoi diabetes manis
0	sok dok fikir kat ktm sorang girl muka cam seems mata familiar orang kenal dok fikir fikir
-1	bilang love you ya
1	cantik nya kayak jisu unnie
1	pakai telegram obrol ya iniadhistyzara ok
-1	peduli super junior kau diri
0	galakin ya
0	hai jual rorec naturalkincareheet mask kak innisfreeheet maskb kak tingga
1	kalikaa teens rika tau kalo sayang banget
0	first impression niumpah kau sombong gila orang cakap kau sombong taku
0	dengar cerita pasang kat cafe gf awak nak putus awak nak stay bf homo
-1	main debar ku khawatir wkkwk nontonin chen main dengar teriak pas
0	kukirimkanms habis habis baterai habis pulsa cinta tak habis untuk
0	berani gurau
0	siluman zonk
0	indonesia korea gara-gara acara kondangan enggak punya sim internasional nyetir sembari cari
-1	faham logik balik ramai marah budak aniaya kucing dobi ramai kutip kucing biar
0	kenal dance laki kanto joget toilet time pasang lagu kpop dance gempak
-1	pndai akademik adab tingkh laku kali jge pown kali gune
1	mati pukul wanita me
0	ayat ustaz syed nasiruddin deep alang alang ajar agama biar cinta stabbed
0	tetiba buku buku dongeng beli susu dancow kuiingin baca beli
0	bingung upfoll dimanaini murah trusted harga cek pinned ya t lelang acc followan rt upfoll rp
1	nak story sikit pasal laki ikhlas nk surprise gf hmm korang nak kisa
1	ya cantik makan nih hehe
-1	cekam diam pikir bicara ya nafsu bica
0	hilang maruah calar
-1	lirik lagu ya hm bilang cinta bilang
0	orang khawatirin kali autofollow mustfollow instantfollow followme openfollow teamautofollow teamfollowback
0	siapa kenal niebab kenal nak jumpa bawa ronda ronda tengok kawasan puncak al
0	beli sepit baju dozen deh sedozen klip baki ampai sahaja party
1	serah ampun jilid kalo ngampunin hutang pulsa teman teme
-1	wee ya kudu mbacot kudu ngomel sing puwedess yen singgung dolane mending
1	mati tak lupa pnah sahabat biar buang kali mmpu nak buang b
1	yeaa kerja suka kerja sen baejat cakap kerja haahaa taktau
-1	puff musnahh gmbar kenang ngn awek pastu gmbar awek kuar ngn laki p
0	ok nder cantik ketemu doi stgh hehe ldr
0	be like this and pleasee
-1	kadang prefer diam jujur kau nak pendam takpelah janji luka kau kau
0	iya aneh rumah
0	favorit retweet blokir
1	wkwkwk baperin badan
-1	beli ip deh bagak kat ig duit mak kau
-1	kau kena senam kau malas nk keluar peluh gemok pendek
1	bagi hidup orang bermanf
-1	bangun pagi lihat ruang keluarga genang air hujan pengin menang syukur
0	dpd idam nasi lemak daun pisang hmm
1	weyy sorry weyy serius doh lupa weyy hahaha
0	oh iya mahasiswa dokter nyumbang mayat juta biar laboratorium lengkap mah atuh anak bio
0	anggap orang ws asyik typo ria ws
1	susah salah jokowi tingkat kualitas
1	usaha asih baik takut perhati sayang
0	tonton nder suka
0	medapatkan uang modal ratus juta han
0	sadar ujung junhui
0	sayang barusan
0	nak kata anggap reply ws paksa je
-1	besok futsal biar tendang pler nya sih yoga pas futsal
0	mari nyanyi lagu manuk dadali mesat ngapung luhur awang awang peka tuh lanjur sayang
1	lepas episod lekat tengok cerita bahagia bida lakon padu weh ganding nora dan
-1	sena kesi kau member budak sts serempak dngn tengok munafik kau gemok
0	ikut hati hati cari antara orang pitstop unt
0	anti gambar nak upload post kat vsco twitter je
-1	park jihoon pusing pikir sih maslahnya bias hh sayang banget dek
-1	lepas tangan kau rumah sakit sama lepas ran tohinichi dcquote
-1	lupa mu list atas ku gagal baru sadar hati ku
1	tuhan kayak amin retweet bilang amin kayak
1	bersih hati khawatir buat jauh baik suka prasangka buruk
0	benda kali mntak
-1	takda suruh kau paksa kau percaya cakap nak percaya ha percaya kau diam diam ah sial
0	nih anak masukd mama a mawar pengin kalo mawar nyanyi tante mama
1	hahahaha akuuka ipbb camera lawa amp reng hang hsjsjs android not bad tho
-1	pusing tugas ih kesel part time cari cari makan let kadang cari
1	cewek suka cowok perhati perhati ce maaf ya dandan cowok iya gapapa e
0	maksimal hobi vlogging jaring internet putus putus hemat kuota pakai unlimitedyoutube amp app
1	ezra aktif yuk kangen nih
1	hahahahahaumpah dekah
-1	geselin kakak mah secret of angel
1	ringgit hahahahahahah weh hancurr hati
-1	kaget balas alf mata melek belah
-1	ajar hadis tafsir salah sheikh google search hadith pastu sila tabayyu
0	bebe rexha contoh perempuan chubby lawa body goals susah paysh diet perempuan n
0	eh sorry ya gaes
0	hasil raih poin yuk ikut kuis trivia akudankorea ada posisi ter
0	apa
0	makan masak anything
